"concept","cuis","rep_cuis","excluded_cuis","cc"
"npi $nmbr$ score","C0449820;C1412208;C1549728;C3539727;C4050231",NULL,NULL,748
"hba $nmbr$ c distribution","C0019016;C0520511;C1704711;C1825777;C3538758","","",820
"mean sd extent of exposure days","C0274281;C0332157;C0439228;C0439792;C0444504;C2347634;C2348143;C2699239",NULL,NULL,1621
"severe moderate","C1299393",NULL,NULL,322
"cardiovascular death myocardial infarction or stroke","C0007226;C0011065;C0027051;C0038454;C0428953;C1306577;C2926063;C3810814;C3887460;C4082313;C4552775;C4552959;C4554100",NULL,NULL,323
"laboratory variables","C0022877;C0439828;C3244292;C4283904",NULL,NULL,978
"t score categories lumbar spineb","C0024090;C0683312;C3854607",NULL,NULL,562
"bempedoic acid n $nmbr$","C3659310",NULL,NULL,1234
"treated at baseline mm hg sbp mean sd","C0085805;C0168634;C0439475;C0444504;C1442488;C1522326;C2347634;C2348143;C2699239","C0005823","",1469
"placebo patients with events","C0030705;C0032042;C0441471;C1696465;C1706408;C3541888","C0032042","",28
"diabetic status n","C0241863;C0449438",NULL,NULL,996
"pbo","C0031962",NULL,NULL,435
"baseline systolic bp","C0168634;C0871470;C1442488","C0871470","",615
"mean acq $nmbr$ score at randomization","C0034656;C0444504;C0449820;C2347634;C2348143;C2919686;C4050231",NULL,NULL,37
"aspirin dipyridamole n $nmbr$","C0732279","C0004057","",1366
"combined dutasteride ta msu losi n","C0024776;C0039297;C0205195;C0754659;C1412759;C1506978;C1705538;C3272501;C4553364",NULL,NULL,1647
"moderate $nmbr$ and $nmbr$","C0205081;C1881878;C4049705;C4049706;C4085643;C4321335",NULL,NULL,321
"changes a in metabolic syndrome parameters hdl cholesterol","C0392747;C0443172;C0449381;C0524620;C1705241;C2357172;C4319952",NULL,NULL,617
"female $nmbr$ years postmenopausal","C0043210;C0086287;C0232970;C0439234;C1705497;C1705498","C0232970","",1041
"risk score category points","C0035647;C0449820;C0683312;C1552961;C2347617;C3714763;C3889287;C4050231;C4552904","C0035647","",173
"previous infarction of group","C0021308;C0205156;C0441833;C0687744;C1257890;C1519504;C1552607;C1705428;C1705429",NULL,NULL,2390
"haq di mcide","C3826998;C4321476",NULL,NULL,1665
"mean a sd mmhg","C0439475;C0444504;C2347634;C2348143;C2699239",NULL,NULL,1287
"hemoglobin ale","C0019046;C0678386;C2632076",NULL,NULL,400
"percutaneous coronary intervention n","C1532338","C1532338","",1661
"p blocker","C0369773;C2603361",NULL,NULL,960
"refractory to such therapy no","C0039798;C0087111;C0205269;C1363945",NULL,NULL,236
"aliskiren dm vs dm","C0011816;C1120110;C3250443","C1120110","",1172
"moderate copd","C0024117;C0205081;C1412502;C1881878;C3714496;C4049705;C4049706;C4085643;C4321335",NULL,NULL,321
"$nmbr$ ml minute","C0439232;C0439526;C0700321;C0702093;C1282918;C1705224;C2347166;C3887665",NULL,NULL,1475
"major hypoglycemia","C0020615;C0205082;C0205164;C4318856;C4521762;C4553659","C0020615","",35
"pfo with large shunt without atrial septal aneurysm","C0232180;C0521533;C0542331;C0549177;C1442858",NULL,NULL,478
"n v n $nmbr$","C0369718;C0441922",NULL,NULL,1553
"ezetimibe","C1142985","C1142985","",1165
"hba $nmbr$ c $nmbr$ $nmbr$ $nmbr$ $nmbr$","C0019016;C1825777;C3538758","","",820
"other glucose lowering drugs","C0013227;C0017725;C0441994;C2003888;C3687832",NULL,NULL,740
"$nmbr$ years education","C0013621;C0013622;C0013658;C0039401;C0439234",NULL,NULL,1099
"insulin na ive","C0021641;C0597484;C1272460;C1533581;C1546968;C1579433;C1879645;C3435805;C3714501;C4049872;C4552882;C4554334",NULL,NULL,419
"intervention group n $nmbr$","C0184661;C0441848;C0886296;C1273869",NULL,NULL,290
"diabetes with use of oral diabetes drugs","C0011847;C0011849;C0020616;C0029167;C0175795;C0304289;C0442027;C1524063;C4521986",NULL,NULL,25
"symptomatic remissionb n n","C0231220",NULL,NULL,611
"prior myocardial infarction yes","C0155668;C1549445;C1705108;C1710701",NULL,NULL,647
"long acting or short acting nitrates","C0028125;C0079613;C0205166;C1282927;C1704930;C1706317;C1806781;C1869853;C2350002;C3890007;C4048375",NULL,NULL,499
"ace i or arb use at baseline","C0021966;C0042153;C0168634;C0221138;C0457083;C1442488;C1452534;C1947944;C3888198;C4284014",NULL,NULL,46
"bronchial reversibility sd","C0205039;C0449261;C1442216;C2699239","C0449261;C0231999","",1315
"body weight kg","C0005910;C0022718;C0439209;C1305866;C4054209","C1305855","",1734
"coenzyme q $nmbr$ g ml","C0041536;C1300565",NULL,NULL,1395
"prerandomization statin therapy","C1278454",NULL,NULL,1646
"angina class iii or iv prior","C0022326;C0264677;C0332152;C2826257;C4265176",NULL,NULL,2102
"ischemic heart failure etiology","C0015127;C0018801;C0018802;C0475224;C1314792;C1524003;C4554158",NULL,NULL,924
"non q wave myocardial infarction","C0542269;C3537181","C1305738","",385
"ace arb medication","C0013227;C1452534;C3244316;C3888198;C4284014;C4284232",NULL,NULL,46
"ct ratio $nmbr$ $nmbr$","C0007673;C0456603;C1547037;C3540513;C3813556;C3888140",NULL,NULL,257
"ace inhibitors or angiotensin ii","C0003009;C0003015;C1366631;C3714928","C0003015","",811
"elevated high sensitivity crp no","C0742906;C1441604","C0006560","",286
"val hctz n $nmbr$","C0020261;C0042285;C0523975",NULL,NULL,1149
"cardiac biomarker n","C1271630",NULL,NULL,643
"p $nmbr$ interaction women vs men","C0025266;C0043210;C0369773;C1704675;C2603361","","",306
"hypertension serum lipid values","C0020538;C0042295;C0428462;C1963138","C0020538","",1364
"duration of initial anticoagulation mean sd mo","C0003281;C0026544;C0205265;C0332177;C0444504;C0449238;C1279901;C1555582;C1705685;C2347634;C2348143;C2699239;C2917212;C2919015;C2926735;C3537050",NULL,NULL,1476
"bp lowering treatment n $nmbr$","C0037623;C0039798;C0087111;C0441994;C1415692;C1522326;C1533734;C1705169;C1708288;C2003888;C3538994;C3887704;C4318478",NULL,NULL,608
"prior pad","C0182158;C0332152;C0332568;C2826257;C3540603;C3669270;C3814046;C4319657",NULL,NULL,294
"lipid values","C0023779;C0042295","C0023779","",1772
"ls mean difference $nmbr$ cl","C0023668;C0444504;C0596019;C1705241;C1705242;C2347634;C2348143",NULL,NULL,658
"total intravenous loop diuretic mg median","C0024671;C0026410;C0348016;C0354100;C0439175;C0439269;C0439810;C0549183;C0876920;C1960952;C2346927;C2347635;C2348144;C2939193;C3536704;C4321396;C4521761","C0354100","",991
"toast classification of qualifying stroke","C0038454;C1514624;C1710306;C4521230;C4554100",NULL,NULL,1762
"angiotensin ii receptor blockers","C0521942;C2757003","C0521942","",779
"low molecular weight","C0026385;C0041667;C0205251;C1521991;C1550472;C3890211;C4048187;C4321351;C4522223",NULL,NULL,851
"with psoriasis zi $nmbr$","C0033860;C0043476","C0033860","",1358
"prior coronary revascularization no","C0332152;C0877341;C2826257","C0877341",";C4049621;C1552607",223
"body mass index median $nmbr$ th $nmbr$ th percentiles kg m $nmbr$","C0005893;C0039725;C0039738;C0549183;C0578022;C0876920;C1264641;C1305855;C1420718;C1532718;C2347635;C2348144;C2939193;C4282123;C4285344","C1305855","",1734
"$nmbr$ decrease in womac pain score","C0392756;C0547047;C0582148",";C0030198","",1340
"estimated gfr at baseline ml min $nmbr$","C0017654;C0168634;C0439445;C0750572;C1424601;C1442488","C3811844;C0017654","",592
"bmi $nmbr$ no f","C0016327;C0578022",NULL,NULL,1735
"vorapaxar n $nmbr$","C2974521","C2974521","",1448
"randomised patients with enthesitis at baselinet","C0030705;C1282952","C1282952","",271
"baseline n","C0168634;C1442488",NULL,NULL,625
"cardiovascular disease n","C0007222","C0007222","",1790
"treatment difference $nmbr$ cl","C0039798;C0087111;C0596019;C1522326;C1533734;C1705169;C1705241;C1705242;C3538994;C3887704",NULL,NULL,658
"ngal ng ml","C0215955;C0439275;C1416806;C2346625",NULL,NULL,204
"ng","C0017887;C0028074",NULL,NULL,203
"clinical disease activity index score $nmbr$ $nmbr$","C0449820;C3869583;C4050231","C1292728",";C4050231;C1299351;C2700149;C3887512;C3889660;C4321237;C4522209",101
"subgroup_level","C0441889;C0456079;C1079230;C1515021;C1547707;C2946261",NULL,NULL,1637
"organic","C0747055","C0747055","",1357
"postmenopausal and no ht","C0018510;C0232970;C0677607","C0282402","",1043
"early load","C1279919;C1550025;C1704782;C1708715",NULL,NULL,1056
"week $nmbr$ outcomes","C0332174;C0439230;C1274040",NULL,NULL,1012
"patients with eot data n","C2707520",NULL,NULL,1333
"apolipoprotein b","C0003593","C0003591","",1028
"diagnosis of diabetes n","C0011847;C0011849;C0011900;C1704338;C1704656","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"serum cholesterol median iqr mg dl","C0439269;C0549183;C0587184;C0876920;C2347635;C2348144;C2939193","C0008377","",1501
"incidence of each outcome","C0021149;C0220856;C1274040","C0021149","",1467
"ldl c mmol l mean sd","C0444504;C1532563;C2347634;C2348143;C2699239","C0023824","",1068
"difference vs placebo","C0032042;C1696465;C1705241;C1705242;C1706408","C0032042","",28
"aspirin group n $nmbr$ $nmbr$ $nmbr$ $nmbr$ person years","C0004057;C0027361;C0439234;C0441848;C2347489",NULL,NULL,1099
"trochanter","C0162370",NULL,NULL,538
"antithrombotic agents n","C1704311",NULL,NULL,1705
"median mg dl","C0439269;C0549183;C0876920;C2347635;C2348144;C2939193",NULL,NULL,635
"glu $nmbr$ asp g t","C0125690;C0439267",NULL,NULL,1486
"$nmbr$ week","C0332174;C0439230",NULL,NULL,1012
"by cause of death","C0007465;C4050444","C0007465","",1423
"n america","C0002454;C0369718;C0441922","C0028405","",1463
"urine albumin creatinine ratio mg mmol","C0455271;C0567349;C1318330;C2348885","C0455271",";C2348885;C1412134;C1515941;C0168634;C1705943;C4019422;C0549183;C0876920;C2362049",80
"current smoker n $nmbr$","C3173209;C3241966","C3241966","",1420
"previous cad","C0205156;C1504769;C1552607;C2239547;C3813548;C4284121",NULL,NULL,698
"n nt","C0332126;C0369718;C0441922;C1449832;C3889152;C4050156;C4283901;C4284038",NULL,NULL,91
"incidence rate of cv events n","C0441471;C1708485;C3538987;C3541888;C4048877;C4318503",NULL,NULL,1777
"bare metal stent no","C2825200","C2825200","",348
"$nmbr$ month n $nmbr$","C0332177;C0439231",NULL,NULL,1476
"white not of hispanic origin","C0007457;C0043157;C0079946;C0086409;C0220938;C0439659;C1518422;C1518424;C1550512","C0086409","",865
"mean sd $nmbr$ $nmbr$ $nmbr$ $nmbr$","C0444504;C2347634;C2348143;C2699239",NULL,NULL,37
"stroke m l hf hospitalization","C0018488;C0019993;C0038454;C0456616;C1313497;C1538440;C3273279;C4554100","C0018801",";C0168634;C1524003",12
"serum phosphate mmol l","C0036820;C1532563",NULL,NULL,670
"moderate copdb n z $nmbr$","C0205081;C1881878;C4049705;C4049706;C4085643;C4321335",NULL,NULL,321
"stroke vs tia","C0007787;C0038454;C0917805;C1054154;C4554100",NULL,NULL,1592
"troponin positive n $nmbr$","C0041199;C0439178;C1446409;C1514241;C2825490;C3812269",NULL,NULL,1163
"rate per year","C0439234;C0439508;C0871208;C1521828",NULL,NULL,2009
"placebo $nmbr$","C0032042;C1696465;C1706408","C0032042","",28
"prior statin use","C0042153;C0332152;C0360714;C0457083;C1947944;C2826257","C2826257;C0360714","",2186
"baseline mean serum uric acid pmol l sd","C0168634;C0439284;C0444504;C0455272;C0700634;C1442488;C2347634;C2348143;C2699239","","",2093
"cardiovascular death or nonfatal myocardial infarction","C0007226;C0011065;C0027051;C0428953;C1306577;C2926063;C3810814;C3887460;C4082313;C4552775;C4552959",NULL,NULL,646
"other asian","C0078988","C0078988","",1369
"iv vasodilator","C0022326;C0042402;C3537240;C4265176","C0042402","",817
"$nmbr$ $nmbr$ $nmbr$ ng l n $nmbr$","C0439297",NULL,NULL,202
"apolipoprotein a $nmbr$ g l","C0003592;C0439294;C0456615;C0523508","C0003591","",1028
"index event asymptomatic or unconfirmed","C0231221;C0441471;C0600653;C0918012;C1547326;C1552854;C1637833;C2986546;C4019010",NULL,NULL,412
"death mi idr or st","C0011065;C0036056;C1306577;C3272372;C3810814;C4082313;C4552775",NULL,NULL,246
"clinical variables median iqr","C0205210;C0439828;C0549183;C0876920;C2347635;C2348144;C2939193",NULL,NULL,635
"pre bronchodilator fev l","C2599602;C3714541",NULL,NULL,682
"no of target vessels","C0449618",NULL,NULL,747
"age yr age group no","C0027362;C0439234;C2348001",NULL,NULL,45
"hr $nmbr$ cl $nmbr$ $nmbr$ b $nmbr$ $nmbr$ $nmbr$","C0596019",NULL,NULL,658
"hypercholesterolemia was defined as a low density lipoprotein cholesterol level at enrollment of more than $nmbr$ mg per deciliter $nmbr$ $nmbr$ mmol per liter after an overnight fast nonsustained ventricular tachycardia was defined as $nmbr$ or more consecutive ventricular beats at a heart rate of more than $nmbr$ beats per minute to convert weight to kilograms divide by $nmbr$ $nmbr$ to convert values for creatinine to micromoles per liter multiply by $nmbr$ $nmbr$ data for follow up medication were available for $nmbr$ patients amiodarone $nmbr$ placebo $nmbr$ and icd $nmbr$ ace de notes angiotensin converting enzyme and arb angiotensin ii receptor blocker p $nmbr$ $nmbr$ for the comparison among the groups","C0002598;C0005910;C0010294;C0011198;C0013227;C0015663;C0017480;C0018827;C0020443;C0021122;C0022709;C0023824;C0030705;C0032042;C0040363;C0041260;C0042295;C0043100;C0205172;C0332849;C0369773;C0425583;C0439209;C0439241;C0439300;C0439385;C0439583;C0441833;C0441889;C0456079;C0456962;C0470187;C0475211;C0521942;C0567349;C0589120;C0687744;C0750194;C0871208;C1257890;C1305866;C1316572;C1317574;C1452534;C1511726;C1516879;C1519504;C1521828;C1522133;C1522565;C1522577;C1547707;C1552839;C1561535;C1696073;C1696465;C1704685;C1704788;C1705104;C1705428;C1705429;C1706408;C1707455;C1707491;C1719797;C1883351;C2347285;C2348885;C2603361;C2911648;C2919575;C2946261;C2985769;C3244316;C3245479;C3274571;C3536793;C3539106;C3541240;C3714741;C3888021;C3888198;C4284014;C4284232","","",-10
"china japan","C0008115;C0022341",NULL,NULL,772
"amiodarone","C0002598","","",1757
"mean time to first oral dose postsurgeryh hr","C0040223;C0178602;C0205435;C0442027;C0444504;C0869039;C1114758;C1279901;C2347634;C2348143;C3541383;C4521986",NULL,NULL,757
"severity n","C0439793;C0522510",NULL,NULL,561
"ace inhibitor arb","C0003015;C3888198;C4541021",NULL,NULL,44
"heart rate sd bpm","C0018810;C2699239","C0018810","",1105
"dbp mm hg median iqr","C0439475;C0536221;C0549183;C0876920;C2347635;C2348144;C2939193;C3813197;C4281799",NULL,NULL,605
"qualifying high risk features","C0332167;C1514624;C1521970;C1706388;C2346469;C2348519;C3272283;C4050568;C4319571","C4319571","",837
"current smoker n of patients","C0030705;C3173209;C3241966","C3241966","",1420
"age years mean s d","C0444504;C1510829;C2347634;C2348143","C1510829","",481
"baseline uas $nmbr$","C0168634;C1442488",NULL,NULL,625
"history of major microvascular disease n","C0205082;C0205164;C0443258;C0683519;C0730226;C0850708;C0944983;C4318856;C4521762",NULL,NULL,105
"mean sd change from pre to post bronchodilator fev $nmbr$ l","C0332152;C0392747;C0443172;C0444504;C0687676;C0740175;C1704687;C1705241;C2257086;C2347634;C2348143;C2599594;C2599602;C2699239;C3469826;C3669034;C3714541;C4319952",NULL,NULL,771
"cdai $nmbr$ t","C0683448;C1413248;C3273706",NULL,NULL,697
"history of stroke at baseline","C0019664;C0019665;C0038454;C0168634;C0262512;C0262926;C1442488;C1705255;C2004062;C4554100",NULL,NULL,832
"smoking a","C0037369;C0453996;C1881674","C0037369","",420
"rosiglitazone","C0289313","C0289313","",1761
"hope n $nmbr$","C0392347",NULL,NULL,604
"duration of disease yr","C0439234;C0872146","C0449238;C0872146","",903
"data are reported as percentage or mean standard deviation unless otherwise indicated ng normoglycemia igm impaired glucose metabolism ldl low density lipoprotein hdl high density lipoprotein fpg fasting plasma glucose a median interquartile range p $nmbr$ $nmbr$ vs non epa p $nmbr$ $nmbr$ vs non epa","C0015663;C0017725;C0017887;C0023820;C0023821;C0028074;C0178587;C0202042;C0205251;C0221099;C0439165;C0444504;C0455280;C0549183;C0580545;C0596620;C0684224;C0700287;C0871420;C0876920;C1154908;C1442989;C1444656;C1511726;C1518422;C1549488;C1550472;C1561533;C1706005;C1711350;C1828170;C2347634;C2347635;C2348143;C2348144;C2828392;C2939193;C3245479;C3714741;C3890211;C4048187;C4319718;C4321351;C4522223",NULL,NULL,629
"disease","C0012634",NULL,NULL,1279
"timi clinically significant","C0237881;C0750502;C1546944",NULL,NULL,788
"ind gly $nmbr$ $nmbr$ mg once daily n $nmbr$ $nmbr$","C0017890;C0024671;C0026410;C0332173;C0439269;C0523677;C1960952;C2346927;C4049864;C4321396;C4521761",NULL,NULL,192
"$nmbr$ cells pl","C0007584;C0007634;C3897966;C4049765","","",-10
"warfarin no","C0043031","C0043031","",858
"overall dlqi score $nmbr$","C0282416;C0449820;C1561607;C3899393;C4050231",NULL,NULL,527
"age y median range","C0001779;C0549183;C0876920;C1514721;C2347635;C2348144;C2348147;C2939193;C3542016","C0001779","",480
"stroke any","C0038454;C4554100",NULL,NULL,1762
"noncurrent smoker","C0337664","C0037369","",420
"exposure to study drug days","C0013175;C0332157;C0439228",NULL,NULL,1621
"crcl $nmbr$ $nmbr$","C1846718",NULL,NULL,706
"prior ms treatment with ifn beta or glatiramer acetate no","C0015980;C0289884;C1514463;C2349943;C3539704;C3713294",NULL,NULL,574
"rivaroxaban plus aspirin $nmbr$ cl","C0004057;C0332287;C0596019;C1739768","C1739768","",1225
"accp score","C0449820;C4050231",NULL,NULL,748
"post bronchodilator fev $nmbr$ at screening","C0220908;C0220909;C1698960;C1710031;C1710032;C1710477;C2348164;C2599594;C3714541",NULL,NULL,798
"crp ng ml","C0439275;C3890735;C4048285",NULL,NULL,204
"hscrp mg l median first third quartiles","C0205435;C0205437;C0439268;C0549183;C0876920;C1279901;C2347635;C2348144;C2828255;C2939193","C0006560","",286
"no diabetes n $nmbr$ $nmbr$","C0011847;C0011849","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"baseline to eom placebo n $nmbr$","C0032042;C0168634;C0241886;C1442488;C1696465;C1706408","C0032042","",28
"sal $nmbr$ mg","C0024671;C0026410;C0036140;C0037494;C0206136;C0439269;C1960952;C2346927;C4321396;C4521761",NULL,NULL,853
"history of chf nyha class ii or iii no","C0018802;C0019664;C0019665;C0262512;C0262926;C0439070;C1705160;C1705255;C1882085;C2004062",NULL,NULL,832
"diabetes n $nmbr$ $nmbr$","C0011847;C0011849","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"$nmbr$ days to $nmbr$ year n $nmbr$","C0556972",NULL,NULL,1410
